,(1),(2),(3),(4),(5),(6),(7),(8)
,Visited Post Carto,Compliance,Visited Post Carto,Compliance,Visited Post Carto,Compliance,Visited Post Carto,Compliance
Willingness,0.034**,0.037***,0.033**,0.038***,,,,
,(0.011),(0.007),(0.012),(0.008),,,,
Predicted Willingness to pay,,,,,-0.010,0.012,-0.019,0.025**
,,,,,(0.028),(0.009),(0.033),(0.009)
Wall quality,,,0.022,0.021**,0.011,0.016**,0.023**,0.012**
,,,(0.013),(0.009),(0.011),(0.007),(0.011),(0.005)
Roof quality,,,0.011,0.001,0.006,0.001,0.018**,-0.009
,,,(0.008),(0.002),(0.008),(0.004),(0.008),(0.006)
Erosion threat,,,0.016,-0.005,-0.004,-0.011,-0.001,-0.005
,,,(0.012),(0.005),(0.012),(0.007),(0.010),(0.005)
House FE ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stratum FE ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Observations,3933,5521,3929,4461,4908,4922,4725,4731
Clusters,50,50,50,50,80,80,76,76
Mean,.357,.062,.357,.066,.448,.112,.41,.059