Table 7R2,,,,,,,
,(1),(2),(3),(4),(5),(6),(7)
,Tax Compliance,Tax Amount,Visited,Visits,Compliance,Compliance,Compliance
Central Plus Local Info,0.029*,39.844,-0.061,-0.063,0.005,0.035**,50.228
,(0.015),(34.943),(0.039),(0.069),(0.030),(0.015),(41.740)
Local,,,,,,0.052***,141.085**
,,,,,,(0.013),(53.612)
Not very much confidence,0.007,90.243,-0.032,-0.023,0.091,-0.012,-34.970
,(0.029),(127.200),(0.064),(0.113),(0.073),(0.024),(100.461)
Some confidence,0.032*,58.213,0.037,0.040,0.063,0.008,-11.333
,(0.019),(55.981),(0.047),(0.085),(0.044),(0.016),(49.419)
A lot of confidence,0.004,30.414,-0.021,-0.045,0.040,-0.019,-60.381
,(0.018),(55.466),(0.045),(0.080),(0.039),(0.015),(51.165)
Time FE ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
House FE ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stratum FE ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Observations,1791,1791,1344,1344,591,2973,2973
Clusters,163,163,161,161,151,265,265
Mean,.066,202.935,.45,.61,.112,.066,.066
CLIvC_p,,,,,,.2587289723168689,.071013766510127